Date,High,Low,Open,Close,Volume,Adj Close
2021-01-04,3272.0,3144.02001953125,3270.0,3186.6298828125,4411400,3186.6298828125
2021-01-05,3223.3798828125,3165.06005859375,3166.010009765625,3218.510009765625,2655500,3218.510009765625
2021-01-06,3197.510009765625,3131.159912109375,3146.47998046875,3138.3798828125,4394800,3138.3798828125
2021-01-07,3208.5400390625,3155.0,3157.0,3162.159912109375,3514500,3162.159912109375
2021-01-08,3190.639892578125,3142.199951171875,3180.0,3182.699951171875,3537700,3182.699951171875
2021-01-11,3156.3798828125,3110.0,3148.010009765625,3114.2099609375,3683400,3114.2099609375
2021-01-12,3142.139892578125,3086.0,3120.0,3120.830078125,3514600,3120.830078125
2021-01-13,3189.949951171875,3122.080078125,3128.43994140625,3165.889892578125,3321200,3165.889892578125
2021-01-14,3178.0,3120.590087890625,3167.52001953125,3127.469970703125,3070900,3127.469970703125
2021-01-15,3142.550048828125,3095.169921875,3123.02001953125,3104.25,4244000,3104.25
2021-01-19,3145.0,3096.0,3107.0,3120.760009765625,3305100,3120.760009765625
2021-01-20,3279.800048828125,3175.0,3181.989990234375,3263.3798828125,5309800,3263.3798828125
2021-01-21,3348.550048828125,3289.570068359375,3293.0,3306.989990234375,4936100,3306.989990234375
2021-01-22,3321.909912109375,3283.159912109375,3304.31005859375,3292.22998046875,2821900,3292.22998046875
2021-01-25,3363.889892578125,3243.14990234375,3328.5,3294.0,3749800,3294.0
2021-01-26,3338.0,3282.8701171875,3296.360107421875,3326.1298828125,2955200,3326.1298828125
2021-01-27,3346.52001953125,3207.080078125,3341.489990234375,3232.580078125,4660200,3232.580078125
2021-01-28,3301.679931640625,3228.68994140625,3235.0400390625,3237.6201171875,3149200,3237.6201171875
2021-01-29,3236.989990234375,3184.550048828125,3230.0,3206.199951171875,4293600,3206.199951171875
2021-02-01,3350.260009765625,3235.030029296875,3242.360107421875,3342.8798828125,4160200,3342.8798828125
2021-02-02,3427.739990234375,3361.1298828125,3380.0,3380.0,7098600,3380.0
2021-02-03,3434.0,3308.6201171875,3425.010009765625,3312.530029296875,7088800,3312.530029296875
2021-02-04,3347.0,3277.75,3330.0,3331.0,3670700,3331.0
2021-02-05,3377.0,3302.7099609375,3319.0,3352.14990234375,3620800,3352.14990234375
2021-02-08,3365.0,3304.0,3358.5,3322.93994140625,3257400,3322.93994140625
2021-02-09,3338.0,3297.840087890625,3312.489990234375,3305.0,2203500,3305.0
2021-02-10,3317.949951171875,3254.0,3314.0,3286.580078125,3151600,3286.580078125
2021-02-11,3292.0,3248.06005859375,3292.0,3262.1298828125,2301400,3262.1298828125
2021-02-12,3280.25,3233.31005859375,3250.0,3277.7099609375,2335300,3277.7099609375
2021-02-16,3308.300048828125,3253.590087890625,3254.050048828125,3268.949951171875,2574700,3268.949951171875
2021-02-17,3320.909912109375,3259.5,3263.60009765625,3308.639892578125,3297500,3308.639892578125
2021-02-18,3338.0,3273.93994140625,3282.419921875,3328.22998046875,3027400,3328.22998046875
2021-02-19,3333.5,3245.75,3328.22998046875,3249.89990234375,4305200,3249.89990234375
2021-02-22,3232.320068359375,3172.260009765625,3208.1298828125,3180.739990234375,3515700,3180.739990234375
2021-02-23,3204.72998046875,3093.60009765625,3127.030029296875,3194.5,4677200,3194.5
2021-02-24,3171.22998046875,3125.3798828125,3166.75,3159.530029296875,3011300,3159.530029296875
2021-02-25,3178.260009765625,3047.760009765625,3136.739990234375,3057.159912109375,4533800,3057.159912109375
2021-02-26,3122.43994140625,3036.699951171875,3095.199951171875,3092.929931640625,4275900,3092.929931640625
2021-03-01,3149.56005859375,3097.989990234375,3127.889892578125,3146.139892578125,2729100,3146.139892578125
2021-03-02,3163.52001953125,3087.1201171875,3143.469970703125,3094.530029296875,2595800,3094.530029296875
2021-03-03,3107.780029296875,2995.0,3081.179931640625,3005.0,3988700,3005.0
2021-03-04,3058.1298828125,2945.429931640625,3012.0,2977.570068359375,5481600,2977.570068359375
2021-03-05,3009.0,2881.0,3005.0,3000.4599609375,5388600,3000.4599609375
2021-03-08,3064.590087890625,2951.31005859375,3015.0,2951.949951171875,4185000,2951.949951171875
2021-03-09,3090.9599609375,3005.14990234375,3017.989990234375,3062.85009765625,4030000,3062.85009765625
2021-03-10,3116.4599609375,3030.050048828125,3098.449951171875,3057.639892578125,3012500,3057.639892578125
2021-03-11,3131.780029296875,3082.929931640625,3104.010009765625,3113.590087890625,2776400,3113.590087890625
2021-03-12,3098.97998046875,3045.5,3075.0,3089.489990234375,2421900,3089.489990234375
2021-03-15,3082.239990234375,3032.090087890625,3074.570068359375,3081.679931640625,2913600,3081.679931640625
2021-03-16,3128.909912109375,3075.860107421875,3104.969970703125,3091.860107421875,2538800,3091.860107421875
2021-03-17,3173.050048828125,3070.219970703125,3073.219970703125,3135.72998046875,3118600,3135.72998046875
2021-03-18,3116.6298828125,3025.0,3101.0,3027.989990234375,3649600,3027.989990234375
2021-03-19,3077.2900390625,3016.6298828125,3029.22998046875,3074.9599609375,4625400,3074.9599609375
2021-03-22,3126.580078125,3060.050048828125,3067.85009765625,3110.8701171875,2902200,3110.8701171875
2021-03-23,3182.0,3120.85009765625,3127.0,3137.5,3817300,3137.5
2021-03-24,3160.31005859375,3085.14990234375,3151.0400390625,3087.070068359375,2959000,3087.070068359375
2021-03-25,3109.780029296875,3037.139892578125,3072.989990234375,3046.260009765625,3563500,3046.260009765625
2021-03-26,3056.659912109375,2996.0,3044.06005859375,3052.030029296875,3312900,3052.030029296875
2021-03-29,3091.25,3028.449951171875,3055.43994140625,3075.72998046875,2746000,3075.72998046875
2021-03-30,3073.0,3034.0,3070.010009765625,3055.2900390625,2337600,3055.2900390625
2021-03-31,3119.330078125,3062.5,3064.06005859375,3094.080078125,3093900,3094.080078125
2021-04-01,3162.43994140625,3115.550048828125,3117.93994140625,3161.0,2940300,3161.0
2021-04-05,3235.9599609375,3161.239990234375,3173.0,3226.72998046875,3334900,3226.72998046875
2021-04-06,3247.31005859375,3217.0400390625,3223.75,3223.820068359375,2537800,3223.820068359375
2021-04-07,3303.610107421875,3223.64990234375,3233.800048828125,3279.389892578125,3346200,3279.389892578125
2021-04-08,3324.5,3292.0,3310.89990234375,3299.300048828125,2812100,3299.300048828125
2021-04-09,3372.199951171875,3288.89990234375,3304.699951171875,3372.199951171875,4341500,3372.199951171875
2021-04-12,3395.0400390625,3351.14990234375,3355.2099609375,3379.389892578125,3281800,3379.389892578125
2021-04-13,3432.0,3395.6298828125,3400.85009765625,3400.0,3315800,3400.0
2021-04-14,3404.1298828125,3326.0,3404.0400390625,3333.0,3145200,3333.0
2021-04-15,3397.0,3352.0,3371.0,3379.090087890625,3233600,3379.090087890625
2021-04-16,3406.800048828125,3355.590087890625,3380.0,3399.43994140625,3186000,3399.43994140625
2021-04-19,3435.929931640625,3360.159912109375,3390.330078125,3372.010009765625,2725400,3372.010009765625
